NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1079,경상남도 창원시 마산합포구 월영동,598-5,0598,0005,월영동 에드텔,31.5,202408,27,"2,600",8,개인,개인,2000,밤밭고개로 395,-,중개거래,경남 창원시 마산합포구
1080,경기도 의정부시 호원동,460-13,0460,0013,엘리시아,23.249,202408,27,"9,500",2,개인,개인,2018,평화로 184,-,중개거래,경기 의정부시
1081,경기도 성남시 수정구 창곡동,560-1,0560,0001,남위례역 푸르지오 시티,54.307,202408,27,"57,000",10,개인,개인,2018, ,-,중개거래,경기 성남시 수정구
1082,경기도 하남시 망월동,1143-1,1143,0001,미사강변 오벨리스크,46.5818,202408,27,"36,500",6,개인,개인,2020,미사대로 410,-,중개거래,경기 하남시
1083,서울특별시 송파구 방이동,Mar.48,0048,0003,더원센트럴,35.2,202408,27,"31,800",8,개인,개인,2020,위례성대로2길 13,-,직거래,-
1084,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5,202408,27,"2,100",4,개인,개인,2006,해안대로 367,-,직거래,-
1085,부산광역시 연제구 연산동,588-7,0588,0007,연산역 유성해네스타워,29.955,202408,27,"9,200",19,개인,개인,2016,거제천로230번길 81,-,중개거래,부산 연제구
1086,경기도 성남시 분당구 서현동,255-1,0255,0001,분당풍림아이원플러스오피스텔,40,202408,27,"24,000",4,개인,개인,2004,서현로 170,-,중개거래,경기 성남시 분당구
1087,경기도 용인시 기흥구 언남동,385-20,0385,0020,CASA27,50.69,202408,27,"23,000",9,개인,법인,2018,구성로64번길 11-8,-,직거래,-
1088,경기도 용인시 수지구 풍덕천동,1165,1165,0000,수지샤르망 오피스텔,29.71,202408,27,"15,200",2,개인,개인,2003,포은대로 410,-,중개거래,경기 용인시 수지구
1089,부산광역시 해운대구 좌동,1478-1,1478,0001,해운대 좌동 SK 허브 올리브,28.4668,202408,27,"5,600",10,개인,개인,2005,양운로 56,-,중개거래,부산 해운대구
1090,경기도 용인시 수지구 풍덕천동,1165,1165,0000,수지샤르망 오피스텔,30.49,202408,27,"14,950",8,개인,개인,2003,포은대로 410,-,중개거래,경기 용인시 수지구
