NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,전라남도 여수시 웅천동,1875-1,1875,0001,포레나 여수 웅천 디 아일랜드,27.1918,202409,13,"9,900",12,개인,개인,2020,웅천남4로 17,-,중개거래,전남 여수시
2,경기도 성남시 분당구 야탑동,367-5,0367,0005,노블리치1오피스텔,32.56,202409,13,"16,500",5,개인,개인,2003,성남대로916번길 20,-,중개거래,경기 성남시 분당구
3,충청남도 천안시 서북구 두정동,1492,1492,0000,로하스텔,35.24,202409,13,"4,800",4,개인,개인,2007,두정상가4길 32-7,-,중개거래,충남 천안시 서북구
4,서울특별시 금천구 가산동,535-7,0535,0007,G밸리 하우스디 어반,19.3737,202409,13,"15,200",9,개인,개인,2019,서부샛길 714,-,중개거래,서울 금천구
5,경상북도 김천시 율곡동,797,0797,0000,한신休시티,25.97,202409,13,"6,500",23,개인,개인,2016,혁신1로 81,-,중개거래,경북 김천시
6,광주광역시 서구 치평동,1203-1,1203,0001,중흥에스-클래스스카이31,29.9437,202409,13,"7,800",20,개인,개인,2014,시청로 97,-,중개거래,광주 북구
7,강원특별자치도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,20.193,202409,13,"7,000",17,법인,개인,2018,공지로 455,-,직거래,-
8,서울특별시 관악구 봉천동,969-51,0969,0051,리더스 오피스텔,17.6,202409,13,"12,500",2,개인,개인,2003,봉천로 265-1,-,중개거래,서울 관악구
9,충청남도 천안시 서북구 쌍용동,1592,1592,0000,효명 리치빌,28.13,202409,13,"4,900",5,개인,개인,2004,월봉7길 49,-,중개거래,충남 천안시 서북구
10,서울특별시 송파구 문정동,622,0622,0000,송파한화오벨리스크,26.82,202409,13,"19,400",4,개인,법인,2013,충민로 5,-,중개거래,서울 송파구
11,울산광역시 남구 신정동,1911,1911,0000,신정 지웰,35.1339,202409,13,"10,300",3,개인,개인,2018, ,-,중개거래,울산 남구
12,서울특별시 마포구 상암동,1597,1597,0000,사보이시티디엠씨,21.65,202409,13,"14,930",8,개인,개인,2016, ,-,중개거래,서울 마포구
13,서울특별시 강남구 수서동,713,0713,0000,수서현대벤쳐빌,25.45,202409,13,"18,550",5,법인,개인,2002,밤고개로1길 10,-,중개거래,서울 강남구
14,경상남도 창원시 진해구 용원동,1347-1,1347,0001,다인로얄팰리스 부산 신항1차,47.7961,202409,12,"12,000",9,개인,개인,2020,신항2로 106,-,직거래,-
15,인천광역시 서구 가좌동,136,0136,0000,무한퍼스트지,66.3435,202409,12,"18,500",12,개인,개인,2019,염곡로 140,-,중개거래,인천 서구
16,경기도 양평군 양서면 양수리,551-12,0551,0012,(551-12),47.78,202409,12,"25,000",17,개인,개인,2021,양수로156번길 18,-,중개거래,서울 영등포구
17,경기도 하남시 망월동,1106,1106,0000,힐스테이트 에코 미사,19.49,202409,12,"12,500",5,개인,개인,2018,미사강변동로 85,-,중개거래,경기 하남시
18,경기도 부천시 원미구 중동,1168-2,1168,0002,베네피아오피스텔,41.85,202409,12,"13,000",7,개인,개인,2004,117,-,중개거래,경기 부천시 원미구
19,경기도 군포시 당동,Apr.54,0054,0004,(54-4),78.41,202409,12,"26,300",6,법인,개인,2018, ,-,중개거래,경기 군포시
20,서울특별시 마포구 성산동,590-4,0590,0004,KCC상암스튜디오380,20.35,202409,12,"14,950",10,개인,개인,2014, ,-,중개거래,서울 마포구
21,경기도 고양시 덕양구 도내동,951,0951,0000,힐사이드파크1차,22.73,202409,12,"10,800",18,개인,개인,2021,권율대로 508,-,중개거래,경기 고양시 덕양구
22,서울특별시 강서구 마곡동,760,0760,0000,마곡나루역보타닉푸르지오시티,22.2,202409,12,"20,500",11,개인,개인,2017, ,-,직거래,-
23,충청남도 천안시 서북구 차암동,435,0435,0000,천안비즈타워,15.68,202409,12,"4,350",9,개인,개인,2015,3공단6로 58-8,-,중개거래,충남 천안시 동남구
24,경기도 오산시 원동,335-10,0335,0010,르마레시티,46.86,202409,12,"20,900",8,법인,법인,2019,원동로 22,-,중개거래,"경기 오산시, 서울 서초구"
25,충청남도 천안시 서북구 차암동,435,0435,0000,천안비즈타워,15.68,202409,12,"4,350",9,개인,개인,2015,3공단6로 58-8,-,중개거래,충남 천안시 동남구
26,경기도 안양시 만안구 안양동,213-28,0213,0028,명학 아크로팰리스,20.66,202409,12,"10,000",8,개인,개인,2021,덕천로 87,-,중개거래,경기 안양시 만안구
27,광주광역시 서구 치평동,1203-1,1203,0001,중흥에스-클래스스카이31,29.9437,202409,12,"7,800",16,개인,개인,2014,시청로 97,-,중개거래,광주 서구
28,서울특별시 금천구 가산동,233-5,0233,0005,가산센트럴 푸르지오시티,17.62,202409,12,"13,100",7,개인,개인,2020,디지털로10길 69,-,중개거래,서울 금천구
29,충청남도 천안시 서북구 차암동,435,0435,0000,천안비즈타워,15.68,202409,12,"4,300",9,개인,개인,2015,3공단6로 58-8,-,중개거래,충남 천안시 동남구
30,경기도 평택시 지산동,850-19,0850,0019,신화빌리지3차,84.84,202409,12,"17,600",6,개인,개인,2015,송탄2로65번길 6-4,-,중개거래,경기 평택시
31,경기도 화성시 반송동,Jul.93,0093,0007,트라이엄프 동탄,28.52,202409,12,"11,000",16,개인,개인,2011,메타폴리스로 47-11,-,직거래,-
32,서울특별시 강남구 자곡동,669,0669,0000,강남블루지움,20.8,202409,12,"17,500",6,개인,개인,2017, ,-,중개거래,서울 강남구
33,부산광역시 연제구 연산동,587-1,0587,0001,연산동웰메이드오피스텔,33.4694,202409,12,"12,900",10,개인,개인,2017,중앙대로1134번길 28,-,중개거래,부산 연제구
34,서울특별시 중구 남대문로5가,171,0171,0000,-171,37.94,202409,12,"23,500",7,개인,개인,1991,퇴계로 27,-,중개거래,서울 동대문구
35,경기도 고양시 일산동구 백석동,1329,1329,0000,밀레니엄리젠시,149.56,202409,12,"44,000",2,개인,개인,2002,호수로 340-11,-,중개거래,경기 고양시 일산동구
36,부산광역시 수영구 수영동,445-3,0445,0003,수영 엔스타Ⅱ,29.57,202409,12,"7,200",16,개인,개인,2013,수영로725번길 53,-,중개거래,부산 수영구
37,서울특별시 금천구 가산동,233-5,0233,0005,가산센트럴 푸르지오시티,17.62,202409,12,"13,100",7,개인,개인,2020,디지털로10길 69,20240912,중개거래,서울 금천구
38,서울특별시 영등포구 당산동5가,9월 3일,0009,0003,당산역해링턴타워,23.92,202409,11,"21,500",12,개인,개인,2015, ,-,직거래,-
39,인천광역시 서구 청라동,156-1,0156,0001,청라센트럴에일린의뜰,45.4494,202409,11,"22,700",27,개인,개인,2018,청라커낼로 300,-,중개거래,인천 서구
40,서울특별시 강서구 마곡동,773,0773,0000,힐스테이트 에코 마곡역,19.967,202409,11,"17,500",6,개인,개인,2017,마곡중앙로 76,-,중개거래,서울 강서구
41,경기도 하남시 망월동,1100,1100,0000,힐스테이트미사역그랑파사쥬(12-1BL),72.9365,202409,11,"62,300",28,개인,개인,2020,미사강변동로 95,-,중개거래,"경기 하남시, 서울 강동구"
42,부산광역시 사상구 괘법동,984,0984,0000,센트럴 스타힐스,45.5071,202409,11,"20,500",33,법인,개인,2022,사상로223번길 23,-,중개거래,부산 사상구
43,부산광역시 기장군 정관읍 매학리,717-9,0717,0009,골든스카이 오피스텔,27,202409,11,"4,000",10,개인,개인,2015,55,-,중개거래,부산 기장군
44,부산광역시 동구 초량동,593,0593,0000,부산역 삼정그린코아 더시티,29.2938,202409,11,"10,000",13,개인,개인,2021, ,-,직거래,-
45,대구광역시 중구 남산동,694-3,0694,0003,반월당 아너스 제네스타워 오피스텔,22.113,202409,11,"9,500",20,개인,개인,2019,중앙대로 312,-,직거래,-
46,제주특별자치도 제주시 도남동,81,0081,0000,도남그랑팰리스,118.37,202409,11,"50,000",4,개인,법인,2024,신성로10길 40,-,직거래,-
47,인천광역시 미추홀구 주안동,238-1,0238,0001,오피스텔 디에이 리베로,28.506,202409,11,"7,000",7,개인,개인,2003,89,-,중개거래,인천 미추홀구
48,경기도 시흥시 정왕동,1366-14,1366,0014,파인힐 오피스텔,32.19,202409,11,"6,700",3,법인,개인,2003,마유로 226,-,직거래,-
49,인천광역시 부평구 부평동,135-8,0135,0008,청담아이리스,64.48,202409,11,"25,000",2,개인,개인,2015,부평문화로115번길 14-1,-,직거래,-
50,충청북도 청주시 서원구 사직동,12월 12일,0012,0012,(12-12),59.4,202409,11,"8,500",4,개인,개인,2011,사운로 65,-,직거래,-
51,충청북도 청주시 흥덕구 강서동,458,0458,0000,청주 강서 동광모닝스카이,20.47,202409,11,"4,700",8,개인,개인,2016,가로수로1164번길 41-33,-,중개거래,충북 청주시 흥덕구
52,서울특별시 강남구 역삼동,825-20,0825,0020,강남역 센트럴 푸르지오 시티,23.33,202409,11,"31,000",12,법인,개인,2015, ,-,중개거래,서울 강남구
53,서울특별시 서초구 양재동,275-3,0275,0003,트윈타워,24.07,202409,11,"13,500",6,개인,개인,1991,마방로10길 25,-,중개거래,서울 서초구
54,충청남도 천안시 서북구 두정동,1361,1361,0000,새아스빌,31.2,202409,11,"3,317",5,개인,법인,2004,두정상가1길 5,-,중개거래,충남 천안시 서북구
55,서울특별시 영등포구 양평동2가,43-14,0043,0014,CO-OP Residence/오목교,26.38,202409,11,"11,900",7,법인,개인,2004,영등포로3길 23,-,중개거래,서울 영등포구
56,경기도 안산시 단원구 고잔동,528-4,0528,0004,고잔리슈빌S,22.7312,202409,11,"10,000",11,개인,개인,2020,당곡로 27,-,중개거래,경기 안산시 단원구
57,경기도 화성시 오산동,1088-2,1088,0002,우성르보아시티,18.34,202409,11,"11,000",9,개인,개인,2018,동탄대로 557-9,-,중개거래,경기 화성시
58,경기도 안산시 단원구 고잔동,523-6,0523,0006,대우마이빌,28.47,202409,11,"5,400",10,개인,개인,2003,고잔로 23-12,-,중개거래,경기 안산시 단원구
59,서울특별시 영등포구 당산동4가,1월 2일,0001,0002,코오롱 스타폴리스,40.28,202409,11,"25,000",9,개인,개인,2005,영신로 219,-,중개거래,서울 영등포구
60,서울특별시 영등포구 여의도동,May.44,0044,0005,힐스테이트 여의도 파인루체,28.92,202409,11,"37,058",12,개인,법인,2023,여의대방로69길 19,-,중개거래,서울 영등포구
61,대전광역시 서구 둔산동,1293,1293,0000,케이티 그랜드 뷰,39.09,202409,11,"8,850",6,개인,개인,2004,둔산서로 65,-,중개거래,대전 서구
62,대전광역시 서구 둔산동,1293,1293,0000,케이티 그랜드 뷰,26.61,202409,11,"6,000",15,법인,개인,2004,둔산서로 65,-,중개거래,대전 서구
63,경기도 화성시 오산동,1088-2,1088,0002,우성르보아시티,18.23,202409,11,"10,500",14,개인,개인,2018,동탄대로 557-9,-,직거래,-
64,부산광역시 부산진구 부전동,525-3,0525,0003,서면베르빌,31.08,202409,11,"5,700",11,법인,개인,2004,부전로 43,-,중개거래,부산 부산진구
65,광주광역시 북구 용봉동,1366-4,1366,0004,(1366-4),46.31,202409,11,"5,100",5,개인,개인,2008,저불로 62,-,중개거래,광주 북구
66,부산광역시 부산진구 부전동,525-3,0525,0003,서면베르빌,34.71,202409,11,"7,500",6,법인,개인,2004,부전로 43,-,중개거래,부산 부산진구
67,부산광역시 부산진구 부전동,525-3,0525,0003,서면베르빌,28.86,202409,11,"5,300",21,법인,개인,2004,부전로 43,-,중개거래,부산 부산진구
68,서울특별시 구로구 구로동,Aug.44,0044,0008,비즈트위트 오렌지,16.82,202409,11,"10,700",18,법인,개인,2013,공원로6가길 8,-,중개거래,서울 구로구
69,경기도 용인시 수지구 풍덕천동,1165,1165,0000,수지샤르망 오피스텔,29.71,202409,11,"16,000",5,개인,개인,2003,포은대로 410,-,중개거래,경기 용인시 수지구
70,경기도 용인시 기흥구 서천동,283,0283,0000,희망의도시,13.62,202409,11,"5,400",5,개인,개인,2013,서그내로 52,-,중개거래,경기 용인시 기흥구
71,서울특별시 강서구 방화동,829,0829,0000,오피앙2,22.5,202409,11,"7,500",6,개인,개인,2002,금낭화로 287-50,-,중개거래,서울 강서구
72,부산광역시 사하구 하단동,510-6,0510,0006,시티파크,27.9,202409,11,"7,250",13,개인,개인,2013,낙동대로 500,-,중개거래,부산 사하구
73,경기도 용인시 기흥구 서천동,283,0283,0000,희망의도시,13.62,202409,11,"5,400",5,개인,개인,2013,서그내로 52,-,중개거래,경기 용인시 기흥구
74,경상남도 창원시 성산구 중앙동,Feb.99,0099,0002,창원 중앙 블루힐스,21.24,202409,11,"6,900",6,개인,개인,2016,용지로 56,-,중개거래,경남 창원시 성산구
75,경기도 의정부시 의정부동,205-1,0205,0001,정우 오피스텔,30.75,202409,10,"5,450",10,개인,개인,2003,호국로 1290,-,중개거래,경기 의정부시
76,경상남도 김해시 외동,1257-3,1257,0003,메트로타워1,22.8,202409,10,"2,300",8,개인,개인,2003,내외중앙로 30,-,직거래,-
77,대전광역시 유성구 도룡동,4월 9일,0004,0009,도룡 하우스디,35.7573,202409,10,"15,900",4,개인,개인,2019,엑스포로151번길 19,-,중개거래,대전 유성구
78,경기도 부천시 원미구 심곡동,177-3,0177,0003,노블레스부천,21.29,202409,10,"10,000",8,개인,개인,2018,25,-,직거래,-
79,경기도 부천시 원미구 중동,1110,1110,0000,위브더스테이트,179.91,202409,10,"135,000",32,개인,개인,2007,170,-,중개거래,경기 부천시 원미구
80,대전광역시 유성구 봉명동,536-9,0536,0009,홍인오피스텔,24.75,202409,10,"1,800",17,개인,개인,1992,대학로 28,-,중개거래,대전 유성구
81,경상남도 통영시 광도면 죽림리,1570-8,1570,0008,다임 리더스빌,44.46,202409,10,"6,700",6,개인,개인,2009,죽림4로 23-96,-,중개거래,경남 통영시
82,서울특별시 송파구 잠실동,178-6,0178,0006,잠실 M타워,17.17,202409,10,"16,000",3,개인,개인,2018,올림픽로8길 7,-,중개거래,서울 송파구
83,서울특별시 마포구 상암동,1734,1734,0000,상암 한화 오벨리스크,19.93,202409,10,"10,300",4,개인,개인,2013,구룡길 19,-,중개거래,서울 마포구
84,경기도 의정부시 의정부동,205-1,0205,0001,정우 오피스텔,30.75,202409,10,"5,500",9,개인,개인,2003,호국로 1290,-,중개거래,경기 의정부시
85,제주특별자치도 제주시 이도이동,1011,1011,0000,메종프라임,26.83,202409,10,"9,000",5,개인,개인,2017,중앙로 262,-,직거래,-
86,경상남도 창원시 성산구 상남동,Mar.78,0078,0003,마이우스 오피스텔,25.99,202409,10,"6,100",11,개인,개인,2006,중앙대로 104,-,중개거래,경남 창원시 성산구
87,경상북도 경주시 황성동,1067-4,1067,0004,더 테라스,24.7477,202409,10,"10,800",7,개인,개인,2022, ,-,중개거래,경북 경주시
88,서울특별시 강서구 등촌동,631,0631,0000,등촌동두산위브센티움,28.45,202409,10,"16,250",3,개인,개인,2004,양천로 564,-,중개거래,서울 강서구
89,경기도 여주시 상동,177-4,0177,0004,인텔죤,29.25,202409,10,"5,700",4,개인,개인,2005,강변로 158,-,중개거래,경기 여주시
90,울산광역시 남구 신정동,569-2,0569,0002,문수로드림파크,43.4978,202409,10,"14,000",5,개인,개인,2022,월평로21번길 28,-,중개거래,울산 남구
91,경상남도 창원시 마산합포구 중앙동3가,4-192,0004,0192,리베로오피스텔,22.62,202409,10,"3,200",5,개인,개인,2003,중앙북7길 7,-,중개거래,경남 창원시 마산합포구
92,충청북도 청주시 흥덕구 오송읍 만수리,857,0857,0000,골드리치오피스텔,36.285,202409,10,"6,450",13,개인,법인,2012,오송생명5로 275,-,중개거래,"세종, 충북 청주시 흥덕구"
93,서울특별시 강남구 역삼동,825-20,0825,0020,강남역 센트럴 푸르지오 시티,24.63,202409,10,"30,300",15,법인,개인,2015, ,-,중개거래,서울 강남구
94,충청북도 충주시 수안보면 온천리,191-1,0191,0001,현대리조텔,40.8,202409,10,"1,200",2,개인,개인,1989,주정산로 47,-,직거래,-
95,서울특별시 종로구 숭인동,313-12,0313,0012,디세븐,16.044,202409,10,"11,000",15,개인,개인,2014,종로56길 20-8,-,중개거래,서울 중구
96,울산광역시 남구 신정동,684-1,0684,0001,신정 오펠리움 플러스,24.445,202409,10,"9,000",4,법인,개인,2018,삼산로 50,-,중개거래,울산 남구
97,울산광역시 남구 신정동,684-1,0684,0001,신정 오펠리움 플러스,30.1501,202409,10,"10,500",5,법인,개인,2018,삼산로 50,-,중개거래,울산 남구
98,경기도 성남시 분당구 수내동,4월 3일,0004,0003,두산위브센티움 2,31.46,202409,10,"17,700",7,개인,개인,2003,수내로 42,-,직거래,-
99,부산광역시 동구 범일동,830-140,0830,0140,동일타워,26.53,202409,10,"6,400",16,개인,개인,2014,조방로 14,-,중개거래,부산 동구
100,서울특별시 강남구 자곡동,651,0651,0000,강남유탑유블레스,25.6979,202409,10,"15,300",3,개인,개인,2014,자곡로 180,-,중개거래,서울 강남구
101,서울특별시 송파구 거여동,604-3,0604,0003,APICE,57.787,202409,10,"70,000",13,개인,개인,2023,위례서로 240,-,직거래,-
102,경기도 구리시 인창동,264-4,0264,0004,쌍용플래티넘선스타워,32.16,202409,10,"10,800",6,개인,개인,2005,경춘로 229,-,중개거래,경기 구리시
103,경기도 안산시 단원구 고잔동,520,0520,0000,에비뉴 큐브시티,22.03,202409,10,"10,000",10,개인,개인,2019, ,-,중개거래,경기 안산시 단원구
104,서울특별시 서초구 방배동,488-4,0488,0004,방배 리더스빌,24.86,202409,10,"14,850",3,개인,개인,2004,남부순환로 2201,-,중개거래,서울 서초구
105,경기도 하남시 망월동,1081,1081,0000,효성헤링턴타워퍼스트 미사역,29.23,202409,10,"21,000",14,개인,개인,2018,아리수로 570,-,중개거래,경기 하남시
106,경기도 성남시 분당구 정자동,24,0024,0000,분당인텔리지2,26.42,202409,10,"18,500",35,개인,개인,2004,정자일로 177,-,중개거래,경기 성남시 분당구
107,강원특별자치도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,22.7,202409,10,"7,500",20,개인,개인,2019,공지로 453,-,중개거래,강원 춘천시
108,경기도 화성시 오산동,969-5,0969,0005,GTX광장프라자,19.06,202409,10,"11,000",12,개인,개인,2017, ,-,중개거래,경기 화성시
109,서울특별시 마포구 도화동,555,0555,0000,마포 한화 오벨리스크,27.56,202409,10,"27,800",4,개인,개인,2004,마포대로 33,-,중개거래,서울 마포구
110,서울특별시 마포구 노고산동,107-17,0107,0017,우정마샹스 오피스텔,13.52,202409,10,"8,800",14,개인,개인,2006,백범로 8,-,중개거래,서울 마포구
111,서울특별시 마포구 노고산동,107-17,0107,0017,우정마샹스 오피스텔,13.52,202409,10,"8,750",15,개인,개인,2006,백범로 8,-,중개거래,서울 마포구
112,서울특별시 강남구 수서동,716,0716,0000,사이룩스,33.52,202409,10,"23,700",8,법인,개인,2003,광평로 295,-,중개거래,서울 강남구
113,서울특별시 동작구 신대방동,698,0698,0000,신라스테이해링턴타워,20.34,202409,10,"14,000",3,개인,개인,2015,시흥대로 596,-,중개거래,서울 동작구
114,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,310",16,법인,법인,2023,거제대로60번길 20,-,직거래,-
115,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,510",20,법인,법인,2023,거제대로60번길 20,-,직거래,-
116,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",20,법인,법인,2023,거제대로60번길 20,-,직거래,-
117,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.26,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
118,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
119,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.57,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
120,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
121,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
122,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
123,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",19,법인,법인,2023,거제대로60번길 20,-,직거래,-
124,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.26,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
125,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
126,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.57,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
127,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
128,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
129,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
130,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,510",18,법인,법인,2023,거제대로60번길 20,-,직거래,-
131,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.26,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
132,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
133,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.57,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
134,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
135,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.96,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
136,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
137,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.74,202409,09,"15,310",17,법인,법인,2023,거제대로60번길 20,-,직거래,-
138,부산광역시 부산진구 양정동,388-8,0388,0008,KM럭채움,29.26,202409,09,"15,310",16,법인,법인,2023,거제대로60번길 20,-,직거래,-
139,경기도 광명시 철산동,473-14,0473,0014,철산동 오피스텔,25.94,202409,09,"9,500",14,개인,개인,2003,오리로 887,-,중개거래,경기 광명시
140,울산광역시 남구 신정동,580-1,0580,0001,신정 센텀메르빌,67.3908,202409,09,"15,944",16,개인,법인,2018,돋질로81번길 13,-,직거래,-
141,경기도 광명시 일직동,509-2,0509,0002,광명트리플타워오피스텔,31.9699,202409,09,"19,800",13,개인,개인,2018,일직로 28,-,중개거래,경기 광명시
142,경기도 성남시 중원구 성남동,2488,2488,0000,동나탑클래스,82.98,202409,09,"45,300",9,개인,개인,2019,광명로100번길 3,-,중개거래,경기 성남시 중원구
143,경기도 안산시 단원구 고잔동,527-2,0527,0002,센터하임오피스텔,18.86,202409,09,"7,900",12,개인,개인,2018,고잔로 57-11,-,직거래,-
144,경기도 안산시 단원구 고잔동,527-3,0527,0003,아이즈빌Ⅱ 오피스텔,29.64,202409,09,"6,000",6,개인,개인,2004,고잔로 57-9,-,중개거래,경기 안산시 상록구
145,대전광역시 유성구 관평동,940,0940,0000,DTVan-S,32.235,202409,09,"10,500",15,개인,개인,2018,테크노중앙로 50,-,중개거래,대전 유성구
146,대전광역시 유성구 봉명동,549-1,0549,0001,사이언스타운 주상복합,33.4598,202409,09,"7,900",4,개인,개인,2013,온천로 60,-,중개거래,대전 유성구
147,서울특별시 성동구 성수동1가,685-308,0685,0308,아트빌딩,26.9,202409,09,"19,000",5,법인,법인,2003,서울숲길 45,-,중개거래,서울 성동구
148,경기도 안산시 단원구 초지동,744,0744,0000,위너스 오션파크,21.6019,202409,09,"9,500",10,법인,개인,2019,원포공원2로 6,-,중개거래,경기 안산시 단원구
149,광주광역시 동구 수기동,2월 23일,0023,0002,(23-2),30.14,202409,09,"3,200",12,개인,개인,1996,천변우로 339,-,직거래,-
150,인천광역시 서구 청라동,153-3,0153,0003,크리스탈뷰 2차,25.2221,202409,09,"9,900",4,개인,개인,2019,크리스탈로74번길 17,-,직거래,-
151,인천광역시 부평구 산곡동,Feb.91,0091,0002,부평 IPARK,56.89,202409,09,"25,000",30,개인,개인,2020,길주로364번길 9,-,중개거래,인천 부평구
152,인천광역시 부평구 부평동,431-22,0431,0022,씨티원,59.43,202409,09,"20,000",4,개인,개인,2016,부평대로 124,-,직거래,-
153,경기도 남양주시 다산동,6058,6058,0000,다산 헤리움 그랑비스타 2차,20.3432,202409,09,"11,950",6,개인,개인,2019,다산중앙로123번길 22-30,-,중개거래,경기 남양주시
154,서울특별시 노원구 상계동,706-2,0706,0002,노원역 보미더클래스 오피스텔,29.2598,202409,09,"26,000",16,개인,개인,2023,상계로 32,-,중개거래,서울 노원구
155,서울특별시 은평구 진관동,73,0073,0000,웅신 미켈란의 아침,19.06,202409,09,"11,450",3,개인,개인,2017,진관2로 15-8,-,중개거래,서울 은평구
156,경기도 남양주시 진접읍 금곡리,1083-1,1083,0001,해밀리움,15.9,202409,09,"9,000",7,개인,개인,2019,해밀예당1로 50-31,-,중개거래,경기 남양주시
157,인천광역시 남동구 간석동,216-11,0216,0011,도시에 창,26.325,202409,09,"7,170",11,개인,개인,2006,백범로 404,-,중개거래,인천 남동구
158,인천광역시 남동구 간석동,240-1,0240,0001,아트폴리스,63.03,202409,09,"12,000",10,개인,개인,2007,백범로 399,-,중개거래,인천 남동구
159,인천광역시 남동구 간석동,240-1,0240,0001,아트폴리스,63.69,202409,09,"12,000",15,개인,기타,2007,백범로 399,-,중개거래,"서울 구로구, 인천 남동구"
160,인천광역시 남동구 간석동,240-1,0240,0001,아트폴리스,63.69,202409,09,"12,000",15,개인,기타,2007,백범로 399,20240911,중개거래,인천 남동구
161,제주특별자치도 서귀포시 신효동,112-5,0112,0005,휴다온,71.34,202409,09,"19,000",4,개인,개인,2017,효돈로 153,-,직거래,-
162,경기도 시흥시 정왕동,1622-1,1622,0001,시화굿모닝빌(정왕대로 72),22.09,202409,09,"6,000",7,개인,개인,2003,정왕대로 342,-,중개거래,경기 시흥시
163,인천광역시 연수구 송도동,149,0149,0000,롯데캐슬 캠퍼스타운,26.3193,202409,09,"14,000",10,법인,개인,2016,송도과학로27번길 55,-,중개거래,인천 연수구
164,서울특별시 마포구 성산동,590-4,0590,0004,KCC상암스튜디오380,20.35,202409,09,"14,800",10,개인,개인,2014, ,-,중개거래,서울 강남구
165,부산광역시 사상구 감전동,116-7,0116,0007,삼주오피스텔,33.399,202409,09,"3,300",3,개인,개인,1990,괘감로 131,-,직거래,-
166,경기도 부천시 원미구 중동,1160-1,1160,0001,대우마이빌 센트럴파크,35.68,202409,09,"15,300",13,개인,개인,2004,139,-,중개거래,경기 부천시 원미구
167,경기도 하남시 망월동,1146-1,1146,0001,하남미사 롯데캐슬 헤븐시티 Ⅰ,21.8386,202409,09,"14,000",7,개인,개인,2020,미사강변한강로 279,-,직거래,-
168,경상남도 창원시 성산구 상남동,6월 19일,0019,0006,대암빌딩,33.5,202409,09,"3,500",7,개인,개인,2003,마디미동로 35,-,직거래,-
