NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19603,경기도 용인시 수지구 풍덕천동,1027,1027,0,신정마을진흥,84.99,202408,22,"76,500",-,14,개인,개인,1999,풍덕천로 19,-,중개거래,경기 용인시 수지구,-
19604,경기도 용인시 수지구 풍덕천동,698-2,698,2,한성,59.54,202408,22,"70,500",-,8,개인,개인,1995,문정로 55,-,중개거래,"경기 용인시 수지구, 서울 송파구",-
19605,경기도 성남시 분당구 구미동,201,201,0,무지개(3단지)(건영),84.97,202408,22,"106,500",-,7,개인,개인,1996,미금로 63,-,중개거래,경기 성남시 분당구,-
19606,경기도 부천시 원미구 상동,394,394,0,한아름마을(한국),48.18,202408,22,"28,800",-,13,개인,개인,1996,부흥로 102,-,중개거래,경기 부천시 원미구,-
19607,경기도 오산시 서동,643,643,0,오산세교한양수자인,59.9779,202408,22,"30,296",106동,12,개인,개인,2024,여들동로 25,-,중개거래,경기 오산시,2024.8.30
19608,경기도 파주시 동패동,2076,2076,0,초롱꽃마을8단지중흥S클래스,59.3275,202408,22,"52,500",-,14,개인,개인,2022,심학산로 234,-,중개거래,경기 파주시,-
19609,경기도 의왕시 오전동,898,898,0,의왕더샵캐슬,84.9681,202408,22,"85,000",-,10,개인,개인,2021,어내들로 5,-,중개거래,경기 의왕시,-
19610,경기도 고양시 덕양구 화정동,865,865,0,달빛마을3단지,84.95,202408,22,"44,000",-,2,개인,개인,1995,화수로 22,-,중개거래,경기 고양시 덕양구,-
19611,경기도 파주시 동패동,2119,2119,0,초롱꽃마을13단지디에트르더퍼스트,59.9834,202408,22,"54,800",-,15,개인,개인,2021,초롱꽃로 130,-,중개거래,경기 파주시,-
19612,경기도 파주시 동패동,1687,1687,0,숲속길마을6단지동문굿모닝힐,101.95,202408,22,"39,200",-,1,개인,개인,2005,책향기로 371,-,중개거래,경기 파주시,-
19613,경기도 화성시 반월동,880,880,0,반달마을두산위브1단지,84.927,202408,22,"51,000",-,15,개인,개인,2007,영통로50번길 27,-,중개거래,경기 화성시,-
19614,경기도 성남시 수정구 고등동,590,590,0,판교밸리제일풍경채,84.9387,202408,22,"114,000",-,11,개인,법인,2020,고등공원로 19,-,직거래,-,-
19615,경기도 성남시 수정구 고등동,590,590,0,판교밸리제일풍경채,84.9387,202408,22,"110,000",-,4,개인,법인,2020,고등공원로 19,-,직거래,-,-
19616,경기도 성남시 수정구 고등동,590,590,0,판교밸리제일풍경채,84.9826,202408,22,"110,000",-,3,개인,법인,2020,고등공원로 19,-,직거래,-,-
19617,경기도 성남시 수정구 고등동,590,590,0,판교밸리제일풍경채,84.8324,202408,22,"114,000",-,7,개인,법인,2020,고등공원로 19,-,직거래,-,-
19618,경기도 화성시 반월동,974,974,0,신동탄포레자이,59.9801,202408,22,"68,500",-,19,개인,개인,2023,영통로60번길 31,-,중개거래,"경기 수원시 영통구, 경기 화성시",-
19619,경기도 화성시 반월동,974,974,0,신동탄포레자이,84.9777,202408,22,"85,000",-,21,개인,개인,2023,영통로60번길 31,-,중개거래,경기 화성시,-
19620,경기도 하남시 신장동,527,527,0,해오름한국,44.55,202408,22,"45,000",-,15,개인,개인,1996,대청로59번길 15,-,중개거래,경기 하남시,-
19621,경기도 오산시 서동,125-2,125,2,신동아(파밀리에),45.9,202408,22,"13,300",-,9,개인,개인,1995,초평로 35,-,중개거래,경기 오산시,-
19622,경기도 부천시 원미구 상동,571-4,571,4,백송마을(동남디아망),83.84,202408,22,"60,300",-,1,개인,개인,2002,부흥로 71,-,중개거래,경기 부천시 원미구,-
19623,경기도 부천시 원미구 상동,397,397,0,반달마을(건영),55.73,202408,22,"34,900",-,7,개인,개인,1993,상일로 71,-,중개거래,경기 부천시 원미구,-
19624,경기도 부천시 원미구 상동,397,397,0,반달마을(선경),50.03,202408,22,"29,500",-,13,개인,개인,1993,상일로 71,-,중개거래,경기 부천시 원미구,-
19625,경기도 안양시 동안구 관양동,1588,1588,0,공작아파트,50,202408,22,"47,500",-,9,개인,개인,1993,관평로212번길 21,-,중개거래,경기 안양시 동안구,-
19626,경기도 안양시 동안구 관양동,1469-2,1469,2,신라,52.56,202408,22,"50,000",-,1,개인,개인,1988,관양로 189-32,-,중개거래,"경기 안산시 단원구, 경기 안양시 동안구",-
19627,울산광역시 중구 성안동,855-3,855,3,경동햇빛마을2단지,78.2618,202408,22,"18,900",-,3,개인,개인,2001,함월2길 56,-,중개거래,울산 중구,-
19628,경기도 성남시 수정구 창곡동,515,515,0,위례호반베르디움,98.95,202408,22,"129,900",-,3,개인,개인,2016,위례중앙로 216,-,중개거래,"경기 성남시 수정구, 서울 강남구",-
19629,경기도 용인시 처인구 포곡읍 둔전리,385,385,0,신원1차,84.73,202408,22,"28,900",-,20,개인,개인,1998,포곡로 90,-,중개거래,경기 용인시 처인구,-
19630,경기도 수원시 영통구 이의동,1334,1334,0,광교센트럴뷰,84.92,202408,22,"125,500",-,2,개인,개인,2013,센트럴타운로22번길 36,-,중개거래,경기 수원시 영통구,-
19631,경기도 안양시 만안구 안양동,1393,1393,0,래미안안양메가트리아,59.75,202408,22,"69,900",-,10,개인,개인,2016,안양천서로 177,-,중개거래,경기 안양시 만안구,-
19632,경기도 수원시 영통구 하동,1032,1032,0,광교호반마을21단지,59.92,202408,22,"60,000",-,1,개인,개인,2014,광교호수로152번길 80,-,중개거래,경기 수원시 영통구,-
19633,경기도 용인시 처인구 포곡읍 둔전리,319,319,0,인정멜로디,53.925,202408,22,"18,000",-,10,개인,개인,1998,포곡로61번길 17,-,중개거래,경기 용인시 처인구,-
19634,울산광역시 동구 화정동,949,949,0,힐스테이트 이스턴베이,84.9083,202408,22,"37,000",-,5,개인,개인,2015,화진길 100,-,중개거래,울산 동구,-
19635,경기도 부천시 원미구 중동,1172,1172,0,보람마을(아주),59.94,202408,22,"49,500",-,10,개인,개인,1995,조마루로 134,-,중개거래,경기 부천시 원미구,-
19636,경기도 용인시 수지구 죽전동,1483,1483,0,죽전휴먼빌,84.9971,202408,22,"82,000",-,10,개인,개인,2010,대지로 77,-,중개거래,경기 용인시 수지구,-
