NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
5134,서울특별시 금천구 가산동,143-49,0143,0049,쏠시티 가산,월세,19.44,202408,29,"1,000",57,5,2019,가산로 145,202408~202508,신규,-,,
5135,대구광역시 남구 대명동,1824-1,1824,0001,이랜드 PEER 대명 2단지,월세,59.63,202408,29,"3,321",96,16,2023,명덕로 148,202411~202611,신규,-,,
5136,경상남도 창원시 마산합포구 장군동3가,4월 13일,0013,0004,상우 더 헤라우스 오피스텔,월세,23.91,202408,29,50,4,8,2016,중앙남5길 79,202408~202612,신규,-,,
5137,서울특별시 성동구 용답동,238-5,0238,0005,(238-5),월세,30.46,202408,29,"6,107",5,8,2021,자동차시장3길 93,202408~202608,신규,-,,
5138,서울특별시 성동구 용답동,238-5,0238,0005,(238-5),월세,30.46,202408,29,"2,551",26,15,2021,자동차시장3길 93,202408~202608,신규,-,,
5139,서울특별시 광진구 구의동,243-71,0243,0071,구의동 벨라로사 오피스텔,월세,20.94,202408,29,"20,000",10,11,2019,아차산로 405,202410~202610,신규,-,,
5140,서울특별시 광진구 화양동,193,0193,0000,하이뷰오피스텔,전세,18.43,202408,29,"23,500",0,19,2020,광나루로 386,202409~202609,갱신,-,"23,500",0
5141,경기도 수원시 권선구 금곡동,1113-5,1113,0005,로얄팰리스,전세,45.59,202408,29,"18,500",0,3,2017, ,202409~202609,신규,-,,
5142,경기도 수원시 권선구 금곡동,1118-4,1118,0004,호매실 THE LIV STYLE,전세,37.05,202408,29,"16,500",0,9,2021,금곡로196번길 35,202408~202508,신규,-,,
5143,대구광역시 달서구 두류동,150-3,0150,0003,두류역 아이작큐브 오피스텔,월세,23.73,202408,29,"1,000",47,12,2018,달구벌대로 1770,202408~202508,신규,-,,
5144,경기도 구리시 교문동,328-106,0328,0106,양지뜰,전세,66.8,202408,29,"25,000",0,2,2022,딸기원로 23-25,202409~202609,신규,-,,
5145,경기도 남양주시 다산동,6028,6028,0000,다산자이 아이비플레이스,전세,52.81,202408,29,"31,700",0,23,2021,다산중앙로 153,202410~202610,신규,-,,
5146,경기도 시흥시 정왕동,1270,1270,0000,시화 동원베네스트,월세,19.04,202408,29,300,38,8,2019,소망공원로 232,202409~202508,신규,-,,
5147,경기도 시흥시 정왕동,2638,2638,0000,거북섬더웰,월세,19.26,202408,29,200,37,9,2023,엠티브이북로 51-15,202408~202508,신규,-,,
5148,부산광역시 동래구 사직동,50-15,0050,0015,오름파크,전세,64.77,202408,29,"17,000",0,2,2016,석사로 21,202410~202610,신규,-,,
5149,경기도 구리시 갈매동,516,0516,0000,별내역 지웰에스테이트 2차,월세,84.88,202408,29,"3,000",160,9,2023,갈매중앙로 201-6,202411~202611,신규,-,,
5150,세종특별자치시  도담동,660,0660,0000,세종한신휴시티,월세,27.43,202408,29,500,53,7,2014,보듬3로 8-20,202409~202509,신규,-,,
5151,경기도 구리시 갈매동,552-4,0552,0004,힐스테이트 갈매역 스칸센(B그룹),월세,39.84,202408,29,"2,000",110,2,2023,갈매순환로 180,202409~202508,신규,-,,
5152,경기도 고양시 덕양구 원흥동,628,0628,0000,티오피클래식,월세,28.94,202408,29,500,80,5,2018,권율대로 668,202408~202508,신규,-,,
5153,경기도 김포시 구래동,Jun.78,6878,0006,월드퍼스티오피스텔,전세,20.07,202408,29,"9,890",0,3,2019,김포한강4로 571,202410~202610,신규,-,,
5154,서울특별시 동대문구 신설동,117-9,0117,0009,신설동 지웰홈스,월세,17.92,202408,29,"1,000",64,5,2017,난계로 242,202408~202508,신규,-,,
5155,서울특별시 구로구 오류동,Feb.48,0048,0002,칸타빌레 8차,전세,17.3,202408,29,"15,500",0,6,2022,경인로20나길 12,202411~202611,신규,-,,
5156,서울특별시 구로구 오류동,51-31,0051,0031,포스시티,월세,23.14,202408,29,"9,900",12,2,2014,경인로20길 6,202409~202609,신규,-,,
5157,경기도 고양시 덕양구 도내동,951-1,0951,0001,가림타워 오피스텔,전세,22.35,202408,29,"11,000",0,10,2022,권율대로 504,202409~202609,신규,-,,
5158,제주특별자치도 서귀포시 표선면 표선리,1591-1,1591,0001,세베스트힐,월세,84.36,202408,29,"1,000",150,4,2019,표선동서로193번길 43,202410~202510,신규,-,,
5159,경기도 안양시 만안구 안양동,433-2,0433,0002,안양 센트럴 헤센,월세,29.37,202408,29,"1,000",80,5,2020, ,202410~202610,신규,-,,
5160,경기도 안양시 만안구 안양동,433-2,0433,0002,안양 센트럴 헤센,월세,29.37,202408,29,"1,000",75,10,2020, ,202408~202508,신규,-,,
5161,경상남도 양산시 물금읍 범어리,Aug.15,2715,0008,범서미라클,월세,54.77,202408,29,"1,000",65,5,2017, ,202408~202508,신규,-,,
5162,서울특별시 구로구 고척동,Apr.76,0076,0004,홈런오피스텔,전세,26.91,202408,29,"12,000",0,7,2003,중앙로 10-16,202410~202610,신규,-,,
