,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
87,88,서울특별시 강서구 등촌동,631,631,0,등촌동두산위브센티움,28.45,202409,10,"16,250",3,개인,개인,2004.0,양천로 564,-,중개거래,서울 강서구
88,89,경기도 여주시 상동,177-4,177,4,인텔죤,29.25,202409,10,"5,700",4,개인,개인,2005.0,강변로 158,-,중개거래,경기 여주시
89,90,울산광역시 남구 신정동,569-2,569,2,문수로드림파크,43.4978,202409,10,"14,000",5,개인,개인,2022.0,월평로21번길 28,-,중개거래,울산 남구
90,91,경상남도 창원시 마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,202409,10,"3,200",5,개인,개인,2003.0,중앙북7길 7,-,중개거래,경남 창원시 마산합포구
91,92,충청북도 청주시 흥덕구 오송읍 만수리,857,857,0,골드리치오피스텔,36.285,202409,10,"6,450",13,개인,법인,2012.0,오송생명5로 275,-,중개거래,"세종, 충북 청주시 흥덕구"
92,93,서울특별시 강남구 역삼동,825-20,825,20,강남역 센트럴 푸르지오 시티,24.63,202409,10,"30,300",15,법인,개인,2015.0, ,-,중개거래,서울 강남구
93,94,충청북도 충주시 수안보면 온천리,191-1,191,1,현대리조텔,40.8,202409,10,"1,200",2,개인,개인,1989.0,주정산로 47,-,직거래,-
94,95,서울특별시 종로구 숭인동,313-12,313,12,디세븐,16.044,202409,10,"11,000",15,개인,개인,2014.0,종로56길 20-8,-,중개거래,서울 중구
95,96,울산광역시 남구 신정동,684-1,684,1,신정 오펠리움 플러스,24.445,202409,10,"9,000",4,법인,개인,2018.0,삼산로 50,-,중개거래,울산 남구
96,97,울산광역시 남구 신정동,684-1,684,1,신정 오펠리움 플러스,30.1501,202409,10,"10,500",5,법인,개인,2018.0,삼산로 50,-,중개거래,울산 남구
97,98,경기도 성남시 분당구 수내동,4월 3일,4,3,두산위브센티움 2,31.46,202409,10,"17,700",7,개인,개인,2003.0,수내로 42,-,직거래,-
98,99,부산광역시 동구 범일동,830-140,830,140,동일타워,26.53,202409,10,"6,400",16,개인,개인,2014.0,조방로 14,-,중개거래,부산 동구
99,100,서울특별시 강남구 자곡동,651,651,0,강남유탑유블레스,25.6979,202409,10,"15,300",3,개인,개인,2014.0,자곡로 180,-,중개거래,서울 강남구
100,101,서울특별시 송파구 거여동,604-3,604,3,APICE,57.787,202409,10,"70,000",13,개인,개인,2023.0,위례서로 240,-,직거래,-
101,102,경기도 구리시 인창동,264-4,264,4,쌍용플래티넘선스타워,32.16,202409,10,"10,800",6,개인,개인,2005.0,경춘로 229,-,중개거래,경기 구리시
102,103,경기도 안산시 단원구 고잔동,520,520,0,에비뉴 큐브시티,22.03,202409,10,"10,000",10,개인,개인,2019.0, ,-,중개거래,경기 안산시 단원구
103,104,서울특별시 서초구 방배동,488-4,488,4,방배 리더스빌,24.86,202409,10,"14,850",3,개인,개인,2004.0,남부순환로 2201,-,중개거래,서울 서초구
104,105,경기도 하남시 망월동,1081,1081,0,효성헤링턴타워퍼스트 미사역,29.23,202409,10,"21,000",14,개인,개인,2018.0,아리수로 570,-,중개거래,경기 하남시
105,106,경기도 성남시 분당구 정자동,24,24,0,분당인텔리지2,26.42,202409,10,"18,500",35,개인,개인,2004.0,정자일로 177,-,중개거래,경기 성남시 분당구
