,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
380,381,서울특별시 강남구 역삼동,825-20,825,20,강남역 센트럴 푸르지오 시티,24.61,202409,5,"31,000",17,법인,개인,2015.0, ,-,중개거래,서울 강남구
381,382,서울특별시 강서구 마곡동,773-3,773,3,힐스테이트에코동익,24.57,202409,5,"20,000",4,개인,개인,2017.0, ,-,중개거래,서울 강서구
382,383,경기도 고양시 덕양구 삼송동,294,294,0,힐스테이트 삼송역 스칸센(2블록),29.952,202409,5,"24,000",23,개인,개인,2021.0,삼송로 240,-,중개거래,경기 고양시 덕양구
383,384,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",9,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
384,385,부산광역시 강서구 명지동,Feb.04,3604,2,부산 명지 제나우스 블루오션 오피스텔,24.56,202409,5,"11,000",13,개인,개인,2020.0,명지국제2로 16,-,직거래,-
385,386,경기도 안산시 단원구 초지동,744-6,744,6,스타캐슬,21.9175,202409,5,"6,500",5,개인,개인,2015.0, ,-,중개거래,경기 안산시 단원구
386,387,경기도 용인시 기흥구 서천동,283,283,0,희망의도시,13.62,202409,5,"5,300",2,개인,개인,2013.0,서그내로 52,-,중개거래,경기 용인시 기흥구
387,388,경기도 안산시 단원구 초지동,744,744,0,위너스 오션파크,21.6019,202409,5,"10,000",6,개인,개인,2019.0,원포공원2로 6,-,중개거래,경기 수원시 영통구
388,389,광주광역시 남구 월산동,997-4,997,4,동강오피스빌,22.6,202409,5,"2,500",7,개인,개인,2002.0,대남대로 351,-,중개거래,광주 남구
389,390,경기도 부천시 원미구 심곡동,139-1,139,1,에버그린,77.65,202409,5,"25,000",13,개인,개인,2015.0,516,-,중개거래,경기 부천시 원미구
390,391,경상남도 창원시 성산구 중앙동,Mar.96,96,3,라큐비,23.4,202409,5,"6,700",14,개인,개인,2015.0,중앙대로83번길 8,-,중개거래,경남 창원시 성산구
391,392,경기도 이천시 부발읍 아미리,670-5,670,5,이천아미리슈빌S,25.5949,202409,5,"9,000",5,공공기관,개인,2018.0,경충대로2092번길 31,-,중개거래,경기 이천시
392,393,경기도 이천시 부발읍 아미리,670-5,670,5,이천아미리슈빌S,20.9864,202409,5,"9,500",13,공공기관,개인,2018.0,경충대로2092번길 31,-,중개거래,경기 이천시
393,394,광주광역시 북구 신안동,134-7,134,7,제일오피스텔,24.5,202409,5,"3,400",12,개인,개인,1998.0,무등로180번길 12,-,중개거래,광주 북구
394,395,경상북도 예천군 호명읍 금능리,769,769,0,경북도청이전신도시 트레젠웰가,22.27,202409,5,"6,075",10,법인,법인,2017.0, ,-,직거래,-
395,396,경기도 수원시 영통구 이의동,1351,1351,0,광교 경동 해피리움,20.8595,202409,5,"13,500",12,개인,개인,2014.0,에듀타운로 108,-,직거래,-
396,397,서울특별시 성동구 성수동1가,13-163,13,163,청호 서울숲 뜨레피움 오피스텔,19.03,202409,5,"24,000",4,개인,개인,2018.0,상원6나길 24,-,중개거래,서울 성동구
397,398,경상북도 예천군 호명읍 금능리,769,769,0,경북도청이전신도시 트레젠웰가,22.27,202409,5,"6,075",9,법인,법인,2017.0, ,-,직거래,-
398,399,서울특별시 금천구 독산동,953,953,0,삼부르네상스플러스,18.81,202409,5,"10,930",6,개인,개인,2004.0,시흥대로152길 11-43,-,중개거래,서울 금천구
399,400,경상북도 예천군 호명읍 금능리,769,769,0,경북도청이전신도시 트레젠웰가,30.4,202409,5,"7,944",7,법인,법인,2017.0, ,-,직거래,-
400,401,경기도 수원시 영통구 이의동,1351-6,1351,6,광교유니코어,20.43,202409,5,"13,000",15,법인,개인,2018.0,도청로 95,20240910,중개거래,경기 수원시 영통구
401,402,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
402,403,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",9,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
403,404,경상북도 안동시 풍천면 갈전리,1631,1631,0,코아루프라임시티오피스텔2차,25.84,202409,5,"7,600",4,개인,개인,2017.0, ,-,직거래,-
404,405,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
405,406,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",9,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
406,407,대전광역시 서구 만년동,386,386,0,-386,45.0,202409,5,"6,500",11,개인,개인,2002.0,둔산대로117번길 66,-,중개거래,대전 서구
407,408,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
408,409,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
409,410,대전광역시 유성구 봉명동,445-4,445,4,리베라 아이누리2 도시형생활주택,59.3228,202409,5,"16,000",6,개인,개인,2013.0,온천로 26,-,중개거래,대전 유성구
410,411,경기도 의정부시 의정부동,1월 21일,21,1,궁전오피스텔,28.87,202409,5,"5,200",2,기타,개인,2003.0,호국로1346번길 34,-,직거래,-
411,412,경기도 수원시 영통구 이의동,1351-6,1351,6,광교유니코어,20.43,202409,5,"13,000",15,법인,개인,2018.0,도청로 95,-,중개거래,경기 수원시 영통구
412,413,경기도 수원시 영통구 원천동,296-6,296,6,수원영통 아크로파크,90.9115,202409,5,"27,000",3,개인,개인,2006.0,삼성로320번길 35,20240913,중개거래,경기 수원시 영통구
413,414,전라남도 목포시 옥암동,956-3,956,3,영신오피스텔,38.72,202409,5,"1,500",6,개인,개인,2001.0,옥암로124번길 23,-,직거래,-
414,415,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
415,416,경기도 수원시 영통구 이의동,1351-6,1351,6,광교유니코어,20.43,202409,5,"13,000",15,법인,개인,2018.0,도청로 95,20240911,중개거래,경기 수원시 영통구
416,417,서울특별시 영등포구 양평동2가,1월 1일,1,1,신동아하이팰리스,71.47,202409,5,"54,000",5,개인,개인,2005.0,선유서로 67,-,중개거래,서울 영등포구
417,418,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
418,419,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,17.47,202409,5,"18,100",5,법인,개인,2018.0,법원로4길 5,-,중개거래,서울 송파구
419,420,서울특별시 영등포구 양평동2가,43-14,43,14,CO-OP Residence/오목교,16.98,202409,5,"7,800",5,개인,개인,2004.0,영등포로3길 23,-,중개거래,서울 영등포구
420,421,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
421,422,울산광역시 남구 신정동,1879,1879,0,풍진 힐그린타운,46.519,202409,5,"11,500",10,개인,개인,2010.0,팔등로 47,-,중개거래,울산 남구
422,423,서울특별시 동작구 노량진동,1월 16일,16,1,노량진 드림스퀘어 복합빌딩,24.1329,202409,5,"24,000",10,개인,기타,2020.0,노들로2길 7,-,직거래,-
423,424,서울특별시 동작구 노량진동,1월 16일,16,1,노량진 드림스퀘어 복합빌딩,26.0588,202409,5,"27,000",11,개인,개인,2020.0,노들로2길 7,-,중개거래,서울 동작구
424,425,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
425,426,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",6,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
426,427,충청남도 아산시 배방읍 장재리,1758,1758,0,펜타폴리스 오피스텔,29.88,202409,5,"6,800",7,개인,개인,2010.0,광장로 177-10,-,중개거래,충남 아산시
427,428,경기도 부천시 원미구 상동,402-1,402,1,상동아크로텔,38.115,202409,5,"9,900",15,개인,개인,2004.0,54,-,중개거래,경기 부천시 원미구
428,429,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",7,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
429,430,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
430,431,부산광역시 영도구 영선동1가,1월 21일,21,1,영도오션트라움,31.64,202409,5,"10,000",7,개인,개인,2015.0, ,-,중개거래,부산 영도구
431,432,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
432,433,경기도 안산시 단원구 고잔동,724,724,0,골든빌,27.3,202409,5,"8,000",10,개인,법인,2004.0,광덕대로 206,-,직거래,-
433,434,대전광역시 유성구 관평동,802,802,0,-802,46.8588,202409,5,"21,467",15,법인,법인,2021.0,테크노중앙로 47,-,직거래,-
434,435,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
435,436,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
436,437,서울특별시 광진구 자양동,2월 2일,2,2,건대입구역자이엘라,18.5996,202409,5,"31,500",13,개인,개인,2022.0,능동로 87,-,중개거래,서울 광진구
437,438,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
438,439,서울특별시 은평구 불광동,7월 13일,13,7,더클래스,20.62,202409,5,"14,000",4,개인,법인,2019.0,불광로14길 4,-,직거래,-
439,440,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
440,441,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
441,442,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
442,443,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
443,444,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
444,445,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
445,446,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
446,447,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
447,448,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
448,449,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
449,450,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",5,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
450,451,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
451,452,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
452,453,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
453,454,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
454,455,인천광역시 남동구 논현동,751-3,751,3,가온우노시티 하버파크,84.9,202409,5,"27,500",10,개인,개인,2019.0,소래역남로16번길 29,-,중개거래,인천 남동구
455,456,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,112",10,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
456,457,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,36.767,202409,5,"14,900",6,개인,개인,2005.0,동일로 1700,-,중개거래,서울 노원구
457,458,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
458,459,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
459,460,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
460,461,인천광역시 남동구 구월동,1608,1608,0,신영구월지웰시티푸르지오,29.9566,202409,5,"17,500",21,개인,개인,2020.0, ,-,중개거래,인천 남동구
461,462,서울특별시 서초구 서초동,1680-1,1680,1,서초 아르누보씨티,33.33,202409,5,"27,500",7,개인,개인,2010.0,서초대로 357,-,중개거래,서울 서초구
462,463,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
463,464,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
464,465,경기도 수원시 장안구 정자동,950,950,0,화서역 파크 푸르지오,58.97,202409,5,"43,900",25,개인,개인,2021.0, ,-,중개거래,경기 수원시 장안구
465,466,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
466,467,경기도 화성시 오산동,1089,1089,0,동탄역 롯데캐슬,23.8515,202409,5,"23,000",12,개인,개인,2021.0,동탄역로 150,-,중개거래,경기 화성시
467,468,인천광역시 연수구 송도동,8-37,8,37,롯데몰 송도 캐슬파크,19.7489,202409,5,"13,900",23,개인,개인,2019.0,인천타워대로132번길 9,-,중개거래,인천 연수구
468,469,충청남도 천안시 서북구 성정동,1274,1274,0,시떼베르오피스텔,30.38,202409,5,"4,300",6,개인,개인,2004.0,성정공원6길 1-4,-,중개거래,충남 천안시 서북구
469,470,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
470,471,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
471,472,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
472,473,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
473,474,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
474,475,충청남도 천안시 동남구 신부동,966,966,0,-966,34.32,202409,5,"7,500",14,개인,법인,2007.0,만남로 9,-,중개거래,충남 천안시 동남구
475,476,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
476,477,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
477,478,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",6,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
478,479,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
479,480,경기도 부천시 원미구 중동,1120-1,1120,1,아이엔유 포비스타 오피스텔,29.41,202409,5,"9,700",16,개인,개인,2006.0,14,-,중개거래,경기 부천시 원미구
480,481,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
481,482,경상남도 양산시 물금읍 범어리,Aug.15,2715,8,범서미라클,54.77,202409,5,"12,700",6,개인,개인,2017.0, ,-,중개거래,경남 양산시
482,483,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
483,484,대구광역시 중구 동인동2가,51,51,0,국채보상공원 화성파크드림CITY,29.4168,202409,5,"11,000",25,개인,개인,2015.0,국채보상로 655,-,중개거래,대구 중구
484,485,부산광역시 기장군 정관읍 매학리,749-3,749,3,정관 그리나 오피스텔,27.79,202409,5,"3,800",5,법인,개인,2012.0,607,-,중개거래,부산 기장군
485,486,부산광역시 기장군 정관읍 매학리,749-3,749,3,정관 그리나 오피스텔,27.79,202409,5,"3,800",4,법인,개인,2012.0,607,-,중개거래,부산 기장군
486,487,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",7,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
487,488,부산광역시 기장군 정관읍 매학리,749-3,749,3,정관 그리나 오피스텔,29.21,202409,5,"3,800",8,법인,개인,2012.0,607,-,중개거래,부산 기장군
488,489,경기도 광명시 일직동,511-3,511,3,K SQUARE,26.58,202409,5,"13,600",6,공공기관,개인,2016.0, ,-,중개거래,경기 광명시
489,490,경기도 과천시 별양동,1월 22일,1,22,e편한세상 시티 과천,82.3805,202409,5,"85,000",17,개인,개인,2022.0,별양상가3로 14,-,중개거래,서울 강남구
490,491,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
491,492,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",9,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
492,493,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"13,741",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
493,494,경상남도 통영시 무전동,1034-2,1034,2,삼성오피스텔,34.56,202409,5,"5,500",5,개인,개인,2003.0,무전8길 29,-,중개거래,경남 통영시
494,495,경기도 하남시 망월동,1143-1,1143,1,미사강변 오벨리스크,27.6236,202409,5,"22,500",4,개인,개인,2020.0,미사대로 410,-,중개거래,"경기 하남시, 인천 서구"
495,496,강원특별자치도 춘천시 석사동,114-12,114,12,(114-12),28.74,202409,5,"14,176",8,공공기관,법인,2024.0,춘천순환로38번길 37,-,직거래,-
496,497,인천광역시 서구 청라동,162-22,162,22,청라 에일린의뜰,32.51,202409,5,"9,300",12,개인,개인,2011.0,청라라임로 51,-,중개거래,인천 서구
497,498,서울특별시 강서구 화곡동,920-16,920,16,청솔펠리스,20.19,202409,4,"9,550",5,개인,개인,2012.0,곰달래로 82,-,중개거래,서울 강서구
498,499,경기도 하남시 망월동,1100,1100,0,힐스테이트미사역그랑파사쥬(12-1BL),47.4918,202409,4,"47,000",18,개인,개인,2020.0,미사강변동로 95,-,중개거래,경기 하남시
499,500,서울특별시 동대문구 용두동,787,787,0,동의보감타워,60.25,202409,4,"29,500",17,개인,법인,2005.0,왕산로 128,-,중개거래,"서울 동대문구, 서울 성동구"
500,501,서울특별시 영등포구 영등포동1가,Feb.94,94,2,여의도더리브스타일,19.359,202409,4,"19,900",14,개인,개인,2020.0,경인로 900,-,중개거래,서울 영등포구
501,502,강원특별자치도 강릉시 교동,140-16,140,16,강릉역 블루핀,22.0,202409,4,"9,000",13,개인,개인,2020.0,강릉대로 285,-,중개거래,강원 강릉시
502,503,경기도 화성시 오산동,1088-1,1088,1,동탄역 푸르지오시티,22.261,202409,4,"15,500",21,개인,개인,2019.0,동탄대로 551-16,-,중개거래,경기 화성시
503,504,부산광역시 영도구 대교동1가,95,95,0,영도 봄여름가을겨울,58.437,202409,4,"21,700",10,법인,개인,2020.0,남항서로 131,-,중개거래,부산 영도구
504,505,서울특별시 강서구 화곡동,920-16,920,16,청솔펠리스,20.19,202409,4,"9,550",5,개인,개인,2012.0,곰달래로 82,-,중개거래,서울 강서구
505,506,부산광역시 동구 초량동,1147-14,1147,14,국제오피스텔,36.918,202409,4,"5,500",13,개인,개인,1990.0,중앙대로 263,-,직거래,-
506,507,서울특별시 강남구 자곡동,651,651,0,강남유탑유블레스,25.6979,202409,4,"17,000",2,개인,개인,2014.0,자곡로 180,-,직거래,-
507,508,대구광역시 동구 신암동,207-12,207,12,동대구파크뷰,32.76,202409,4,"8,000",8,개인,개인,2015.0, ,-,중개거래,대구 동구
508,509,경기도 광명시 일직동,517,517,0,광명역센트럴자이,22.5635,202409,4,"15,350",18,공공기관,개인,2018.0,광명역로 28,20240904,중개거래,경기 광명시
509,510,강원특별자치도 속초시 영랑동,148-9,148,9,설악비치리조텔,31.88,202409,4,"6,500",9,개인,개인,1991.0,중앙로 346,-,중개거래,강원 속초시
510,511,대구광역시 중구 남일동,3월 29일,29,3,동성로 하우스디어반,25.1142,202409,4,"10,550",8,개인,법인,2021.0,국채보상로 570,-,중개거래,대구 중구
511,512,서울특별시 영등포구 양평동2가,43-14,43,14,CO-OP Residence/오목교,26.38,202409,4,"11,700",10,개인,개인,2004.0,영등포로3길 23,-,중개거래,서울 영등포구
512,513,부산광역시 수영구 민락동,176-18,176,18,(176-18),22.22,202409,4,"30,000",13,개인,개인,2022.0,광안해변로 269,-,중개거래,부산 수영구
513,514,서울특별시 마포구 도화동,559,559,0,마포트라팰리스,80.3,202409,4,"94,800",17,법인,개인,2006.0,마포대로 53,-,중개거래,서울 마포구
514,515,경기도 시흥시 매화동,355-3,355,3,지니하우스3,77.585,202409,4,"15,000",2,법인,개인,2021.0, ,20240904,직거래,-
515,516,부산광역시 금정구 구서동,415-8,415,8,한진 스카이 아파트,35.04,202409,4,"7,800",4,개인,개인,2010.0,금정로233번길 21,-,중개거래,부산 금정구
516,517,대전광역시 유성구 지족동,898-3,898,3,야베스빌딩,44.262,202409,4,"8,500",10,법인,법인,2009.0,노은로 173,-,중개거래,대전 유성구
517,518,서울특별시 금천구 가산동,139-3,139,3,램킨푸르지오시티,19.96,202409,4,"12,700",3,법인,개인,2013.0,벚꽃로56길 182,-,직거래,-
518,519,인천광역시 서구 청라동,Feb.97,97,2,청라 큐브시그니처 2차 오피스텔,34.238,202409,4,"22,800",6,개인,법인,2022.0,청라한내로72번길 13,-,직거래,-
519,520,경기도 안산시 단원구 고잔동,724,724,0,골든빌,30.42,202409,4,"8,300",10,개인,개인,2004.0,광덕대로 206,-,중개거래,경기 안산시 단원구
520,521,서울특별시 마포구 도화동,559,559,0,마포트라팰리스,76.81,202409,4,"87,000",23,개인,개인,2006.0,마포대로 53,-,중개거래,서울 마포구
521,522,경기도 고양시 일산동구 장항동,854-1,854,1,양우드라마시티,33.97,202409,4,"8,000",9,개인,개인,2003.0,백마로213번길 36,-,중개거래,경기 고양시 일산동구
522,523,경상남도 진주시 칠암동,448,448,0,씨티펄,20.32,202409,4,"5,000",9,개인,개인,2004.0,동진로 29,-,직거래,-
523,524,서울특별시 마포구 합정동,473,473,0,마포 한강 2차 푸르지오,23.09,202409,4,"30,250",19,개인,개인,2016.0,월드컵로3길 14,-,중개거래,"경기 고양시 일산동구, 서울 마포구"
524,525,서울특별시 서초구 서초동,1588-5,1588,5,디아레나 서초,38.29,202409,4,"31,000",4,개인,개인,2020.0,효령로53길 24,-,직거래,-
525,526,경기도 안산시 단원구 신길동,1616,1616,0,삼익 리베리움,23.31,202409,4,"11,500",5,개인,개인,2018.0,신길로1길 94,-,직거래,-
526,527,인천광역시 남동구 간석동,100-1,100,1,세종에이펙스,68.4,202409,4,"23,000",6,개인,개인,2021.0,간석로 40,-,중개거래,인천 중구
527,528,경기도 화성시 능동,1065-3,1065,3,동탄 푸르지오 시티,32.058,202409,4,"11,500",13,개인,개인,2013.0,동탄원천로 360,-,중개거래,경기 화성시
528,529,서울특별시 금천구 가산동,139-3,139,3,램킨푸르지오시티,19.96,202409,4,"13,000",4,법인,개인,2013.0,벚꽃로56길 182,-,직거래,-
529,530,서울특별시 강남구 수서동,713,713,0,수서현대벤쳐빌,37.88,202409,4,"30,500",5,법인,법인,2002.0,밤고개로1길 10,-,중개거래,서울 강남구
530,531,인천광역시 미추홀구 주안동,200-23,200,23,스타뷰,81.82,202409,4,"17,500",2,개인,개인,2015.0,19,-,직거래,-
531,532,인천광역시 부평구 부평동,374-1,374,1,부평한라비발디,24.276,202409,4,"12,900",13,개인,개인,2021.0,대정로 7,-,중개거래,인천 부평구
532,533,경기도 광명시 일직동,517,517,0,광명역센트럴자이,22.5635,202409,4,"15,350",18,공공기관,개인,2018.0,광명역로 28,-,중개거래,경기 광명시
533,534,경기도 성남시 분당구 수내동,11월 1일,11,1,청구블루빌,35.67,202409,4,"19,900",3,개인,개인,2000.0,황새울로 224,-,중개거래,경기 성남시 분당구
534,535,경기도 군포시 당동,745-5,745,5,한림오피스텔,31.4,202409,4,"7,500",11,개인,개인,2003.0,군포로 545,-,중개거래,경기 군포시
535,536,경기도 남양주시 다산동,3129-94,3129,94,네이션스오피스텔,20.0,202409,4,"11,400",5,개인,개인,2021.0,경춘로 442-2,-,중개거래,경기 남양주시
536,537,경기도 수원시 팔달구 매산로1가,11월 9일,11,9,세진브론즈빌,32.34,202409,4,"9,600",6,개인,개인,2006.0,덕영대로 899,-,중개거래,경기 수원시 팔달구
537,538,서울특별시 서대문구 대현동,104-5,104,5,신촌푸르지오시티,26.752,202409,4,"23,200",6,개인,개인,2014.0,신촌역로 7,-,중개거래,"서울 마포구, 서울 서대문구"
538,539,인천광역시 부평구 부평동,119-50,119,50,더스카이뷰,66.58,202409,4,"18,000",5,개인,개인,2016.0,부흥북로96번길 10-10,-,중개거래,인천 부평구
539,540,서울특별시 광진구 화양동,21-20,21,20,광진캠퍼스시티,17.487,202409,4,"16,100",15,개인,개인,2017.0, ,-,중개거래,서울 광진구
540,541,서울특별시 마포구 상암동,1653,1653,0,DMC 이안상암2단지,103.34,202409,4,"78,000",32,개인,개인,2007.0,월드컵북로 361,-,직거래,-
541,542,서울특별시 마포구 상암동,1734,1734,0,상암 한화 오벨리스크,19.93,202409,4,"10,400",6,개인,개인,2013.0,구룡길 19,-,중개거래,서울 마포구
542,543,서울특별시 영등포구 영등포동1가,110-6,110,6,여의도 노블루체91,21.98,202409,4,"26,000",7,개인,개인,2021.0,경인로 888,-,중개거래,서울 영등포구
543,544,서울특별시 관악구 신림동,1462-34,1462,34,(1462-34),18.93,202409,4,"10,000",4,개인,개인,2005.0,관천로 82-1,-,중개거래,서울 관악구
